"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"191"	431	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	75	NA	2	1	"D"	18
"192"	431	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	18
"193"	431	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	114	NA	2	1	"D"	18
"194"	431	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	86	NA	2	1	"D"	18
"195"	431	"IRD_012022"	"1"	"AS141"	"T"	"C1"	95	NA	2	1	"D"	18
"196"	431	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	131	NA	2	1	"D"	18
"197"	431	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	113	NA	2	1	"D"	18
"198"	431	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	140	NA	2	1	"D"	18
"199"	431	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	94	NA	2	1	"D"	18
"200"	431	"IRD_012022"	"2"	"AS146"	"T"	"C1"	95	NA	2	1	"D"	18
"201"	456	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	80	NA	2	1	"D"	19
"202"	456	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	19
"203"	456	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	121	NA	2	3	"D"	19
"204"	456	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	85	NA	2	1	"D"	19
"205"	456	"IRD_012022"	"1"	"AS141"	"T"	"C1"	105	NA	2	1	"D"	19
"206"	456	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	134	NA	2	1	"D"	19
"207"	456	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	115	NA	2	1	"D"	19
"208"	456	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	149	NA	2	1	"D"	19
"209"	456	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	100	NA	2	3	"D"	19
"210"	456	"IRD_012022"	"2"	"AS146"	"T"	"C1"	110	NA	2	3	"D"	19
"211"	479	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	94	NA	2	1	"D"	20
"212"	479	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	20
"213"	479	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	121	NA	2	3	"D"	20
"214"	479	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	92	NA	2	1	"D"	20
"215"	479	"IRD_012022"	"1"	"AS141"	"T"	"C1"	114	NA	2	1	"D"	20
"216"	479	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	139	NA	2	1	"D"	20
"217"	479	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	121	NA	2	1	"D"	20
"218"	479	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	151	NA	2	1	"D"	20
"219"	479	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	104	NA	2	3	"D"	20
"220"	479	"IRD_012022"	"2"	"AS146"	"T"	"C1"	109	NA	2	3	"D"	20
"221"	503	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	98	2	2	1	"D"	21
"222"	503	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	21
"223"	503	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	132	8	2	3	"D"	21
"224"	503	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	99	4	2	1	"D"	21
"225"	503	"IRD_012022"	"1"	"AS141"	"T"	"C1"	118	4	2	1	"D"	21
"226"	503	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	144	2	2	1	"D"	21
"227"	503	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	122	5	2	1	"D"	21
"228"	503	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	156	3	2	1	"D"	21
"229"	503	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	104	2	2	3	"D"	21
