date	H_cumul	Traitement	BAC	Ligne	C1	C2	C3	C4	C5	F1	F2	F3	F4	F5	CD1	CD2	CD3	CD4	CD5	T1	T2	T3	T4	T5	S1	S2	S3	S4	S5	I1	I2	I3	I4	I5
31/01/2022	232	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	D	D	D	D	D	AS146	AS147	AS148	AS149	AS150
22/01/2022	19	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS101	AS102	AS103	AS104	AS105
22/01/2022	19	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	ANC	AR	AS106	AS107	AS108	AS109	AS110
22/01/2022	19	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	ANC	ANC	AS111	AS112	AS113	AS114	AS115
22/01/2022	19	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS116	AS117	AS118	AS119	AS120
22/01/2022	19	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR	AS141	AS142	AS143	AS144	AS145
22/01/2022	24	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS121	AS122	AS123	AS124	AS125
22/01/2022	24	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ANC	ANC	ANC	ANC	AS126	AS127	AS128	AS129	AS130
22/01/2022	24	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS131	AS132	AS133	AS134	AS135
22/01/2022	24	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS136	AS137	AS138	AS139	AS140
22/01/2022	24	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	AR	AR	ANC	AS146	AS147	AS148	AS149	AS150
23/01/2022	41	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS101	AS102	AS103	AS104	AS105
23/01/2022	41	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS106	AS107	AS108	AS109	AS110
23/01/2022	41	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS111	AS112	AS113	AS114	AS115
23/01/2022	41	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS116	AS117	AS118	AS119	AS120
23/01/2022	41	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	AR	ANC	AS141	AS142	AS143	AS144	AS145
23/01/2022	48	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS121	AS122	AS123	AS124	AS125
23/01/2022	48	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS126	AS127	AS128	AS129	AS130
23/01/2022	48	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS131	AS132	AS133	AS134	AS135
23/01/2022	48	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS136	AS137	AS138	AS139	AS140
23/01/2022	48	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	AR	ANC	AS146	AS147	AS148	AS149	AS150
24/01/2022	69	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS101	AS102	AS103	AS104	AS105
24/01/2022	69	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS106	AS107	AS108	AS109	AS110
24/01/2022	69	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS111	AS112	AS113	AS114	AS115
24/01/2022	69	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS116	AS117	AS118	AS119	AS120
24/01/2022	69	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS141	AS142	AS143	AS144	AS145
24/01/2022	72	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS121	AS122	AS123	AS124	AS125
24/01/2022	72	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS126	AS127	AS128	AS129	AS130
24/01/2022	72	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS131	AS132	AS133	AS134	AS135
24/01/2022	72	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS136	AS137	AS138	AS139	AS140
24/01/2022	72	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS146	AS147	AS148	AS149	AS150
25/01/2022	89	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS101	AS102	AS103	AS104	AS105
25/01/2022	89	IRD_012022	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS106	AS107	AS108	AS109	AS110
25/01/2022	89	IRD_012022	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS111	AS112	AS113	AS114	AS115
25/01/2022	89	IRD_012022	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	D	ANC	ANC	AS116	AS117	AS118	AS119	AS120
25/01/2022	89	IRD_012022	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS141	AS142	AS143	AS144	AS145
25/01/2022	96	IRD_012022	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC	AS121	AS122	AS123	AS124	AS125
